event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,$market 有可能出现食品短缺,从截获通讯和其他来源的情报分析提示 $market 有可能在几周内出现食品短缺问题。,假如食品短缺发生，$market 将经历食物价格上涨，稳定性下降。,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,$market 极可能出现食品短缺,从截获通讯和其他来源的情报分析提示 $market 极有可能在几周内出现食品短缺问题。,假如食品短缺发生，$market 将经历食物价格上涨，稳定性下降。,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,$market 极可能出现食品短缺,此报告指出 $market 极有可能发生食品短缺，并指示该区域内的行动单位如何分阶段采取行动使影响最大化。,"附近星系可能会派遣援助舰队，拦截它将导致食品短缺延长，并加剧 $market 的不稳定局势。

在黑市出售食品将加剧食品短缺结束后的动荡水平。",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,$market 极可能出现食品短缺,此报告指出 $market 极有可能发生食品短缺，并指示该区域内的行动单位做好提供协助的准备。,迅速向 $market 运送充足的食物将减少短缺的持续时间和影响。,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,$market 发生食品短缺,该新闻报道探讨了发生在 $market 食品短缺问题，展示了多角度的全貌，但没能指出具体引起短缺的原因。不过引起问题的罪魁祸首最有可能是由于后勤体系的恶化所导致的一连串恶果。,"$market 的食品价格上涨。

稳定性下降$stabilityPenalty。

需要大约 $neededFood 单位的食品供应以结束短缺。
邻居星系可能会派遣援助舰队。

提高出售食品所产生的声望影响。在黑市出售食物将加剧短缺结束后的动荡局势。",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,$market 发生严重的食品短缺,此报告指出 $market 发生了非常严重的食品短缺，并谴责 $theMarketFaction 的管理者放任了人道主义危机的发生。,"$market 的食品价格上涨。

稳定性下降$stabilityPenalty。

需要大约 $neededFood 单位的食品供应以结束短缺。

邻居星系可能会派遣援助舰队。

提高出售食品所产生的声望影响。在黑市出售食物将加剧短缺结束后的动荡局势。",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,$market 疑似发生食品短缺,该报道断然否认了所有关于 $market 发生食品短缺传言，并鼓励有责任感的市民们尽义务举报恶意造谣者。,"$market 的食品价格上涨。

稳定性下降$stabilityPenalty。

需要大约 $neededFood 单位的食品供应以结束短缺。

邻居星系可能会派遣援助舰队。

提高出售食品所产生的声望影响。在黑市出售食物将加剧短缺结束后的动荡局势。",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,$market 发生的食品短缺: $reliefMarket 正在组织援助,对通讯往来的分析结果表明位于 $reliefSystem 的 $reliefMarket 正在组织一支援助舰队，将在不久后被派往 $market。,"舰队满载有足以结束食品短缺的食品。

如果舰队无法如期抵达，$market 的动荡局势将进一步恶化。",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",$market 发生的食品短缺: $reliefMarket 正在组织援助,报告指出位于 $reliefSystem 的 $reliefMarket 正在组织一支援助舰队，并很可能会在几周内启程出发。,"舰队满载有足以结束食品短缺的食品。

如果舰队无法如期抵达，$market 的动荡局势将进一步恶化。",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",$market 发生的食品短缺: $reliefMarket 正在组织援助,报告指出位于 $reliefSystem 的 $reliefMarket 正在组织一支援助舰队，并很可能会在几天内启程出发。临近的行动单位被指示需确保该舰队安全地抵达目的地。,"舰队满载有足以结束食品短缺的食品。

如果舰队无法如期抵达，$market 的动荡局势将进一步恶化。",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,$market 发生的食品短缺: $reliefMarket 的援助已经出发,一支援助舰队已经从位于 $reliefSystem 星系的 $reliefMarket 启程，预计将在 $eta 之后抵达 $marketSystem。,"舰队满载有足以结束食品短缺的食品。

如果舰队无法如期抵达，$market 的动荡局势将进一步恶化。",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,$market 发生的食品短缺: 状态恶化,尽管早前有一些推测认为周边的星球和地区有能力提供援助，但就当前情况来看，这类援助在近期内不会发生。,动乱局势加剧 $stabilityPenaltyRelief。,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,$market 发生的食品短缺: 援助舰队折返,从 $reliefMarket 出发前往 $market 的援助舰队在途中遭到攻击，因遭受重大损失而被迫折返。食品短缺将持续无法缓解。,动乱局势加剧 $stabilityPenaltyRelief。,,graphics/icons/markets/food_shortage.png,prices,,
