id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"轻机枪是一种历史悠久且廉价易得的近程速射武器。贯穿整个太空战斗史，轻机枪就一直都被用来在近距离内对抗来袭的导弹与战斗机。但在面对拥有良好装甲的目标时几乎无效。

由于易于制造和改装，轻机枪在星域中拥有着数百种不同的型号。即便这些武器的机械原理千差万别：凡是使用化学发射药高速发射固定口径动能弹头的武器，无论其弹头以何种方式生产，都可被归类为舰载轻机枪。

因为总体开销很低，所以流行于各种小型民用舰船当中。外包裹有高熔点金属的弹头初速极快，能在近距离内产生惊人的动能伤害。",,,,,
lightdualmg,WEAPON,"轻机枪的双管升级版。虽然它无法有效对付装甲目标，但自人类太空战斗史展开以来，它就已经担任着反导弹与反战机的任务。

作为一种速射小口径动能武器的双联装版本，因其在拦截导弹与战机时的优秀表现而被星域中的大多数飞行员们所熟知。

双管轻机枪可在近距离内对敌舰护盾倾斜大量动能弹而致其反应堆迅速过载，而这正是那些缺乏战斗经验的菜鸟舰长所经常忽视的一种有效战术。",,,,,
lightmortar,WEAPON,"这种老式武器只能以低射速发射低初速的近程破甲弹，较低的幅能需求是它能被沿用至今的唯一理由。

轻型迫击炮在设计之初其实从未考虑过被安装在星舰之上。但在后续发展中通过在后膛装填装置进行的一些巧妙改装，使得它得以能在大气层外安装并正常使用。在实战中，轻型迫击炮糟糕的转速和射速让它难以威胁到移动或者带护盾的目标。尽管如此，它还是经常被用于训练菜鸟炮手，以便让他们更好地掌握宇宙弹道学中的战术和术语。

这种武器往往仅被应用于私人游艇或星际飞行器上，毕竟轻便廉价才是它的优势。",,,,,
heavymortar,WEAPON,"这种老式武器和它的小兄弟相比，能用更高射速发射更大破甲弹。炮弹初速与射程较差。较低的幅能需求是其唯一可取之处。

这种最初设计于行星地表作战的重型武器，其表面上是为了摧毁地面防御工事，但在城市轰炸中却发挥了更大的作用。由于机构简单且坚固耐用，因此只需替换自动测距仪与瞄准模块，就可使其在大气层正常地安装和使用。事实证明，用该武器来对付没有护盾且移动缓慢的目标时效果最佳。",,,,,
vulcan,WEAPON,"能在贴身距离内对导弹与战机造成毁灭性打击的速射武器。如果长期持续开火，其精度将会急剧下降。

这种经典的多管速射武器平台内配备有先进的计算装置，所以它通常只被允许由拥有 霸主 授权的供应商生产。火神炮常使用带有贫铀弹尖的非爆炸性实心弹头，不惜幅能代价地借助多管设计达成极高射速。",,,,,
lightac,WEAPON,"射程优秀的小口径自动加农炮。旨在反制敌舰护盾，由较小船体搭载并用于对付护盾发生器较弱的目标时效果最佳。

发射高速动能弹，适合在小型舰船上提供火力支援。但复杂的自动装填机和水冷系统导致其炮塔转速较低，使它难以胜任反导弹和反战机任务。",,,,,
lightdualac,WEAPON,"联装款轻型自动加农炮。作为优秀的密接支援武器，能有效削弱敌舰的护盾系统。由于高后坐力，其有效射程相对较短。

简洁巧妙的机械设计确保了在排出双倍量的弹壳时抛壳口不会被卡住。与单管版本一样，该武器发射用于过载敌舰护盾的高速动能弹头。其配备的自动装填机与水冷系统也与单管型基本相同。",,,,,
lightag,WEAPON,"为近距离交战设计的小口径加农炮，反装甲效果优秀，且射速出众。

设计用于发射高爆弹药的小口径加农炮。为了提高安全性，它的冷却系统与自动装填器为防止高幅能状态下可能发生的弹药殉爆进行了专门设计。想要证明自己的驱逐舰舰长大多十分青睐这个小玩意。",,,,,
fragbomb,WEAPON,"它能发射一连串依靠投放者惯性滑行，且配有近炸引信的小炸弹。

这种简单的三联装发射管，通过持续发射几十枚 Mk.VI 型破片炸弹来打击敌舰。尽管不具备制导与推近系统，且所谓的敌我识别完全依靠投射方的瞄准器，但它却能利用庞大的数量优势来覆盖大片区域，并在近炸引信被敌机触发时引爆，来产生类似防空炮的效果，以暂时在该位置生成防空拦截区。",,,,,
clusterbomb,WEAPON,"释放一群依靠惯性飘浮的高爆炸弹，能有效摧毁缺乏护盾防御的低速目标。

这种拥有三联装发射管的集束炸弹投射器，旨在持续发射几十枚完全依赖惯性飘浮的，且无制导、敌我识别与推近系统的 Mk.II 型高爆炸弹来打击敌舰，这些集束炸弹不仅能有效威胁缺乏护盾的老旧星舰，其惊人的投放量，也能起到区域封锁与正面压制的作用。",,,,,
bomb,WEAPON,"久经考验的武器系统，其弹舱所携带的大量高爆弹头依靠其载体提供初速度飞向目标。

每个炸弹舱都装配有若干枚能逐一发射的 Comp-X 高爆炸弹。由于这些炸弹没有推进系统，而只能依赖从发射者那得到的速度飞向目标 (即，俯冲轰炸)。此外这项设计中所整合的热屏障也能使这些脆弱的炸弹能在敌方点防火力网下存活更久。",,,,,
lightneedler,WEAPON,"每次开火均发射大量小型箭弹，爆发间隔较短。它强大的火力能迅速击溃绝大多数护盾系统，但对装甲难以起效。

发射无壳箭弹的小口径火炮。其令人过目难忘的供弹系统，能以每秒数百发的速度投射 ""针刺""。因不需要退壳机构，而由此富余下来的空间则安装了额外的冷却系统，以进一步提高射速。

人之领 海军理论表明，尽管该武器的主要职能是在较远距离外处理目标的护盾，但在紧要关头，火控手也应当将这些针刺转而应对敌方的战机单位和导弹威胁。",,,,,
