LDC,Class,951cn,cls
"""Able to build """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1,"""+""",x
""" more permanent hullmod* into ships""",com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1,""" 可内置船插的上限""",x
"""Deployment points bonus from objectives is at least """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2,"""即使未占领任何目标点, 仍能给予当前战斗规模 """,x
"""% of the battle size, even if holding no objectives""",com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2,"""% 的部署点奖励""",x
"""*The base maximum number of permanent hullmods you're able to build into a ship is """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level0,"""最初一艘船能内置船插的上限为 """,x
"""Fuel""",com/fs/starfarer/api/impl/campaign/plog/PLStatFuel,""" 燃料""",x
"""sent to the $shortName""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""一批送往 $shortName 的货物清单中, """,x
"""searching through the debris""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""打捞废墟时发现了一份货物清单, """,x
"""sent to the surface""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""一批送往地表的货物清单中, """,x
"""A cargo manifest found by the salvage crews """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""打捞人员在""",x
""" indicates """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""发现有""",x
"""the presence of a quantity of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""一定数量的 """,x
"""likely to be found if proper salvage operations are conducted.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""如果进行适当的搜寻工作, 就应该可以找到.""",x
"""Starting hostility event: %s -> %s""",com/fs/starfarer/api/impl/campaign/events/FactionHostilityEvent,"""从敌对事件: %s -> %s""",x
"""Making factions hostile: %s -> %s""",com/fs/starfarer/api/impl/campaign/events/FactionHostilityEvent,"""制造阵营的敌对: %s -> %s""",x
""" hostilities""",com/fs/starfarer/api/impl/campaign/events/FactionHostilityEvent,""" 敌对行为""",x
""" hostilities - over""",com/fs/starfarer/api/impl/campaign/events/FactionHostilityEvent,""" 敌对行为 - 结束""",x
"""commission""",com/fs/starfarer/api/impl/campaign/events/FactionHostilityEvent,"""雇佣协议""",x
"""the security codes""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""该安全码""",x
"""the """,com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""该 """,x
""" security codes""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,""" 安全码""",x
"""You've acquired ground-forces security codes for %s. Having these allows for much better raid planning and will reduce marine casualties by %s.""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""你已获得 %s 地面部队的安全码, 这意味着你可更好地 制定突袭计划, 从而降低 %s 陆战队的伤亡.""",x
"""The codes are only good for one operation, and, if not used, will also expire after a time.""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""仅适用一次突袭,}即便不使用,}也会在一段时间后失效.""",x
"""Security Codes - """,com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""安全码 - """,x
""" (Expired)""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,""" (已失效)""",x
"""Information""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""情报""",x
"""remaining""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""期限""",x
"""Security codes""",com/fs/starfarer/api/impl/campaign/missions/SecurityCodes,"""安全码""",x
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/RemoveShip,"""失去了 """,x
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长.""",x
"""Cautious""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""谨慎""",x
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长.""",x
"""Steady""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""沉着""",x
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长.""",x
"""Aggressive""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""激进""",x
"""A mix of %s and %s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""混杂着 激进 ,鲁莽 的军官与舰长.""",x
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长.""",x
"""Reckless""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""鲁莽""",x
"""Event Horizon""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""事件界限""",x
"""Event Horizon""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""事件界限""",x
"""Travel""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""航行影响""",x
"""Reduces the combat readiness of all ships near the event horizon at a steady pace.""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""以固定速率大幅度降低靠近事件界限的 舰船战备值 (CR).""",x
"""The drive field is also distrupted, making getting away from the event horizon more difficult.""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""驱动力场也被破坏, 使脱离事件界限更加困难.""",x
"""Combat""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""战斗影响""",x
"""Reduces the peak performance time of ships and increases the rate of combat readiness degradation in protracted engagements.""",com/fs/starfarer/api/impl/campaign/terrain/EventHorizonPlugin,"""降低舰船的峰值时间, 并加速消耗参战舰船的战备值 (CR).""",x
"""Hazard rating""",com/fs/starfarer/api/impl/campaign/SurveyPluginImpl,"""危险等级""",x
"""Planet size""",com/fs/starfarer/api/impl/campaign/SurveyPluginImpl,"""星球大小""",x
"""The colony has no orbital station or nearby fleets to defend it.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该殖民地没有轨道防御设施以及防御舰队的保护.""",x
"""There are no nearby fleets to defend the colony.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""附近没有舰队正在保卫殖民地.""",x
"""An orbital station""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轨道站""",x
""" dominates the orbit and prevents any """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 正处于警戒状态, 除非被彻底摧毁, """,x
"""hostile action, aside from a quick raid, unless it is dealt with.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""它将阻止任何可预料的敌对行动, 但你仍可对此进行突袭.""",x
"""There are defending ships present, but they are currently involved in a battle, and you could take advantage of the distraction to launch a raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""尽管有防御舰队的存在,}但由于它们正参与着另一场战斗,}因此你大可趁其不备来发动突袭.""",x
"""Defending ships are present, but not in sufficient strength to want to give battle or prevent any hostile action you might take.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""尽管附近有防御舰队的存在,}但它们没有足够的能力与你交战并阻止你可能 采取的任何敌对行动.""",x
"""The defending ships present are, with the support of the station, sufficient to prevent raiding as well.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""在轨道防御设施的帮助下,}以现有的防御舰队也足以防止突袭行动的发生.""",x
