LDC,Class,LDC_96CN,RAW_96CN,note
"""EMP countermeasures primed""",com/fs/starfarer/combat/systems/String,"""EMP 反制措施启动""","com/fs/starfarer/combat/systems/String.advanceImpl - String - ""EMP 反制措施启动""",
"""None""",com/fs/starfarer/ui/newui/voidsuper,"""无""","com/fs/starfarer/ui/newui/oOooOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.sizeChanged - String - ""无""",
"""None""",com/fs/starfarer/ui/newui/voidsuper,"""无""","com/fs/starfarer/ui/newui/oOooOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.sizeChanged - String - ""无""",
"""Name:""",com/fs/starfarer/ui/newui/voidsuper,"""名字：""","com/fs/starfarer/ui/newui/oOooOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.sizeChanged - String - ""名字：""",
"""Rank:""",com/fs/starfarer/ui/newui/voidsuper,"""身份：""","com/fs/starfarer/ui/newui/oOooOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.sizeChanged - String - ""身份：""",
"""Post:""",com/fs/starfarer/ui/newui/voidsuper,"""职位：""","com/fs/starfarer/ui/newui/oOooOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.sizeChanged - String - ""职位：""",
"""Default group autofire status (on/off)""",com/fs/starfarer/coreui/refit/WeaponGroupDialog$Oo,"""武器组默认的自动开火状态 (开/关) ""","com/fs/starfarer/coreui/refit/WeaponGroupDialog$Oo.<init> - String - ""武器组默认的自动开火状态 (开/关) """,
""" (D)""",com/fs/starfarer/loading/ShipHullSpecLoader,""" (D)""","com/fs/starfarer/loading/ShipHullSpecLoader.o00000 - String - "" (D)""",
"""This ship has suffered extensive damage which can not be repaired without a costly restoration at a dockyard. However, with so much broken beyond repair, deployment recovery costs are substantially lower.""",com/fs/starfarer/loading/ShipHullSpecLoader,"""由于曾遭受到严重破坏，因此只能通过在船坞花费高昂成本进行修复，才能恢复如初。庆幸的是，这些受损部件因不具备维护的需要，使部署成本大大降低。""","com/fs/starfarer/loading/ShipHullSpecLoader.o00000 - String - ""由于曾遭受到严重破坏，因此只能通过在船坞花费高昂成本进行修复，才能恢复如初。庆幸的是，这些受损部件因不具备维护的需要，使部署成本大大降低。""",
"""Standard""",com/fs/starfarer/loading/ShipHullSpecLoader,"""Standard""","com/fs/starfarer/loading/ShipHullSpecLoader.new - String - ""Standard""",
