RAW,cn.mn,constant,constantCN
"com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1.getEffectDescription - String - ""Able to build """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1.getEffectDescription ,Able to build ,+
"com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1.getEffectDescription - String - "" more permanent hullmod* into ships""",com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1.getEffectDescription , more permanent hullmod* into ships, 个最大可 内置* 舰船插件数
"com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2.getEffectDescription - String - ""Deployment points bonus from objectives is at least """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2.getEffectDescription ,Deployment points bonus from objectives is at least ,即使未占领任何目标点，仍能给予当前战斗规模 
"com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2.getEffectDescription - String - ""% of the battle size, even if holding no objectives""",com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2.getEffectDescription ,"% of the battle size, even if holding no objectives",% 的部署点奖励
"com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level0.getString - String - ""*The base maximum number of permanent hullmods you're able to build into a ship is """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level0.getString ,*The base maximum number of permanent hullmods you're able to build into a ship is ,* 舰船基础可内置的插件的上限为 
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - ""sent to the $shortName""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest ,sent to the $shortName,一批送往 $shortName 的货物清单中，
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - ""searching through the debris""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest ,searching through the debris,打捞废墟时发现了一份货物清单，
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - ""sent to the surface""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest ,sent to the surface,一批送往地表的货物清单中，
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - ""A cargo manifest found by the salvage crews """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest ,A cargo manifest found by the salvage crews ,打捞人员在
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - "" indicates """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest , indicates ,发现有
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - ""the presence of a quantity of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest ,the presence of a quantity of ,一定数量的 
"com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest - String - ""likely to be found if proper salvage operations are conducted.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial.initManifest ,likely to be found if proper salvage operations are conducted.,如果进行适当的搜寻工作，就应该可以找到。
"com/fs/starfarer/api/impl/campaign/rulecmd/RemoveShip.addShipLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/RemoveShip.addShipLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,%s officers and ship commanders.,%s 的军官与舰长。
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""Cautious""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,Cautious,谨慎
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,%s officers and ship commanders.,%s 的军官与舰长。
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""Steady""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,Steady,沉着
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,%s officers and ship commanders.,%s 的军官与舰长。
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""A mix of %s and %s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,A mix of %s and %s officers and ship commanders.,"混杂着 激进 ,鲁莽 的军官与舰长。"
"com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip - String - ""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl.addDescToTooltip ,%s officers and ship commanders.,%s 的军官与舰长。
"com/fs/starfarer/api/impl/campaign/SurveyPluginImpl.init - String - ""Hazard rating""",com/fs/starfarer/api/impl/campaign/SurveyPluginImpl.init ,Hazard rating,危险等级
"com/fs/starfarer/api/impl/campaign/SurveyPluginImpl.init - String - ""Planet size""",com/fs/starfarer/api/impl/campaign/SurveyPluginImpl.init ,Planet size,星球大小
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackLossText ,Lost ,#N/A
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackLossText - String - ""×""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackLossText ,×,#N/A
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackLossText - String - ""×""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addStackLossText ,×,#N/A
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFighterGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFighterGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFighterLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFighterLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addWeaponGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addWeaponGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addWeaponLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addWeaponLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addItemLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCommodityGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCommodityGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCommodityLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCommodityLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCreditsGainText - String - ""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCreditsGainText ,Gained ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCreditsLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCreditsLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addAbilityGainText - String - ""Gained ability: """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addAbilityGainText ,Gained ability: ,获得能力：
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerGainText - String - "" (level """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerGainText , (level , (等级 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerGainText - String - "") has joined your fleet""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerGainText ,) has joined your fleet,) 已加入了你的舰队
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerGainText - String - ""(level """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerGainText ,(level , (等级 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerLossText - String - "" has left your fleet""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addOfficerLossText , has left your fleet, 离开了你的舰队
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addAdminGainText - String - ""Administrator""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addAdminGainText ,Administrator,行政官
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addAdminGainText - String - "" has entered your service""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addAdminGainText , has entered your service, 加入了你的舰队
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFleetMemberGainText - String - ""Acquired """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFleetMemberGainText ,Acquired ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFleetMemberLossText - String - ""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFleetMemberLossText ,Lost ,失去了 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFleetMemberGainText - String - ""Acquired """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addFleetMemberGainText ,Acquired ,获得 
"com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCRLossText - String - ""%s has lost %s combat readiness""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity.addCRLossText ,%s has lost %s combat readiness,%s 失去了 %s 的战备值 (CR) 
"com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage.showStageInfo - String - ""The inspection task force has failed to successfully reach the """,com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage.showStageInfo ,The inspection task force has failed to successfully reach the ,因视察团未能成功抵达 
"com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage.showStageInfo - String - "". The inspection is now over.""",com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage.showStageInfo ,. The inspection is now over.,，而中止任务。
"com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage.showStageInfo - String - ""The inspection task force is currently travelling to the """,com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage.showStageInfo ,The inspection task force is currently travelling to the ,视察团目前正在前往 
"com/fs/starfarer/api/impl/campaign/tutorial/SpacerObligation.reportEconomyTick - String - ""An obligation from your past""",com/fs/starfarer/api/impl/campaign/tutorial/SpacerObligation.reportEconomyTick ,An obligation from your past,为你曾犯下的错误买单
"com/fs/starfarer/api/impl/campaign/tutorial/SpacerObligation.createTooltip - String - ""You never talk about it.""",com/fs/starfarer/api/impl/campaign/tutorial/SpacerObligation.createTooltip ,You never talk about it.,你从不向他人提及此事。
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getManOrWoman - String - ""man""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getManOrWoman ,man,男人
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getManOrWoman - String - ""woman""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getManOrWoman ,woman,女人
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getUCHeOrShe - String - ""he""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getUCHeOrShe ,he,他
