RAW,cn.mn,constant,constantCN
"com/fs/starfarer/coreui/refit/WeaponGroupDialog$Oo.<init> - String - ""Default group autofire status (on/off)""",com/fs/starfarer/coreui/refit/WeaponGroupDialog$Oo.<init> ,Default group autofire status (on/off),武器组默认的自动开火状态 (开/关) 
"com/fs/starfarer/loading/ShipHullSpecLoader.o00000 - String - ""This ship has suffered extensive damage which can not be repaired without a costly restoration at a dockyard. However, with so much broken beyond repair, deployment recovery costs are substantially lower.""",com/fs/starfarer/loading/ShipHullSpecLoader.o00000 ,"This ship has suffered extensive damage which can not be repaired without a costly restoration at a dockyard. However, with so much broken beyond repair, deployment recovery costs are substantially lower.",由于曾遭受到严重破坏，因此只能通过在船坞花费高昂成本进行修复，才能恢复如初。庆幸的是，这些受损部件因不具备维护的需要，使部署成本大大降低。
"com/fs/starfarer/loading/ShipHullSpecLoader.?00000 - String - ""Standard""",com/fs/starfarer/loading/ShipHullSpecLoader.?00000 ,Standard,标准
"com/fs/starfarer/loading/ShipHullSpecLoader.?00000 - String - ""Custom""",com/fs/starfarer/loading/ShipHullSpecLoader.?00000 ,Custom,特装
"com/fs/starfarer/loading/ShipHullSpecLoader.o00000 - String - ""<missing hull name>""",com/fs/starfarer/loading/ShipHullSpecLoader.o00000 ,<\nmissing hull name>\n,<舰船名称 读取失败>
"com/fs/starfarer/campaign/comms/D.float.int - String - ""Log""",com/fs/starfarer/campaign/comms/D.float.int ,Log,日志
"com/fs/starfarer/campaign/comms/D.float.int - String - ""Map""",com/fs/starfarer/campaign/comms/D.float.int ,Map,星图
"com/fs/starfarer/campaign/comms/D.float.int - String - ""Received""",com/fs/starfarer/campaign/comms/D.float.int ,Received,接收
"com/fs/starfarer/campaign/comms/D.float.int - String - ""No messages matching selected criteria""",com/fs/starfarer/campaign/comms/D.float.int ,No messages matching selected criteria,没有匹配的标准消息
"com/fs/starfarer/campaign/comms/D.actionPerformed - String - ""Prices""",com/fs/starfarer/campaign/comms/D.actionPerformed ,Prices,价格
"com/fs/starfarer/campaign/comms/E.?OO000 - String - ""No message selected""",com/fs/starfarer/campaign/comms/E.?OO000 ,No message selected,未选择消息
"com/fs/starfarer/campaign/comms/E.?OO000 - String - ""From: """,com/fs/starfarer/campaign/comms/E.?OO000 ,From: ,来自：
"com/fs/starfarer/campaign/comms/E.?OO000 - String - "" star system)""",com/fs/starfarer/campaign/comms/E.?OO000 , star system), 星系) 
"com/fs/starfarer/campaign/comms/F.??0000 - String - ""Planets""",com/fs/starfarer/campaign/comms/F.??0000 ,Planets,星球
"com/fs/starfarer/campaign/comms/F.??0000 - String - ""Factions""",com/fs/starfarer/campaign/comms/F.??0000 ,Factions,势力
"com/fs/starfarer/campaign/comms/F.??0000 - String - ""Intel""",com/fs/starfarer/campaign/comms/F.??0000 ,Intel,信息
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""Just received""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,Just received,刚收到
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""Today""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,Today,今天
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - "" days ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp , days ago, 天前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""1 week ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,1 week ago,1 周前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""2 weeks ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,2 weeks ago,2 周前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""3 weeks ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,3 weeks ago,3 周前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""1 month ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,1 month ago,1 个月前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""2 months ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,2 months ago,2 个月前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""3 months ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,3 months ago,3 个月前
"com/fs/starfarer/campaign/comms/L.getStringForTimestamp - String - ""Over 3 months ago""",com/fs/starfarer/campaign/comms/L.getStringForTimestamp ,Over 3 months ago,3 个多月前
"com/fs/starfarer/codex/ui/oooO$Oo.<init> - String - ""Primary role""",com/fs/starfarer/codex/ui/oooO$Oo.<init> ,Primary role,战术应用
"com/fs/starfarer/codex/ui/oooO$Oo.<init> - String - ""Mount""",com/fs/starfarer/codex/ui/oooO$Oo.<init> ,Mount,插槽类型
"com/fs/starfarer/codex/ui/oooO$Oo.<init> - String - "", """,com/fs/starfarer/codex/ui/oooO$Oo.<init> ,", ",，
"com/fs/starfarer/codex/ui/oooO$Oo.<init> - String - ""n/a""",com/fs/starfarer/codex/ui/oooO$Oo.<init> ,n/a,无
"com/fs/starfarer/codex/ui/oooO$Oo.<init> - String - ""Ordnance points""",com/fs/starfarer/codex/ui/oooO$Oo.<init> ,Ordnance points,装配点数
"com/fs/starfarer/campaign/command/FighterBlueprintBrowser$1.createImpl - String - ""Production cost.""",com/fs/starfarer/campaign/command/FighterBlueprintBrowser$1.createImpl ,Production cost.,生产成本。
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""Current:""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> ,Current:,当前装配方案：
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""Available """,com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> ,Available ,可得到 
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - "" variants""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> , variants, 装配方案
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""Export Current """,com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> ,Export Current ,保存当前配置 
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""Cancel""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> ,Cancel,取消
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""Enter new variant name""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed ,Enter new variant name,命名新的装配方案
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""This will permanently delete the variant you've just selected. Are you sure?""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed ,This will permanently delete the variant you've just selected.\n\nAre you sure?,这将永久删除你所选的装配。\n\n你确定吗？
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""Yes""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed ,Yes,是
"com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""No""",com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed ,No,不
"com/fs/starfarer/title/C.new.private - String - ""Combat (Basic)""",com/fs/starfarer/title/C.new.private ,Combat (Basic),战斗教程 (基本) 
"com/fs/starfarer/title/C.new.private - String - ""Combat (Advanced)""",com/fs/starfarer/title/C.new.private ,Combat (Advanced),战斗教程 (高级) 
"com/fs/starfarer/title/C.new.private - String - ""Fleet Command""",com/fs/starfarer/title/C.new.private ,Fleet Command,舰队指挥教程
"com/fs/starfarer/title/C.new.private - String - ""Back""",com/fs/starfarer/title/C.new.private ,Back,返回
"com/fs/starfarer/title/C.o?O000 - String - ""Continue""",com/fs/starfarer/title/C.o?O000 ,Continue,继续游戏
"com/fs/starfarer/title/C.o?O000 - String - ""Tutorials""",com/fs/starfarer/title/C.o?O000 ,Tutorials,新手教程
"com/fs/starfarer/title/C.o?O000 - String - ""Missions""",com/fs/starfarer/title/C.o?O000 ,Missions,战役模式
"com/fs/starfarer/title/C.o?O000 - String - ""New Game""",com/fs/starfarer/title/C.o?O000 ,New Game,生涯模式
"com/fs/starfarer/title/C.o?O000 - String - ""Load Game""",com/fs/starfarer/title/C.o?O000 ,Load Game,读取存档
"com/fs/starfarer/title/C.o?O000 - String - ""Codex""",com/fs/starfarer/title/C.o?O000 ,Codex,游戏数据
"com/fs/starfarer/title/C.o?O000 - String - ""Settings""",com/fs/starfarer/title/C.o?O000 ,Settings,游戏设置
"com/fs/starfarer/title/C.o?O000 - String - ""Credits""",com/fs/starfarer/title/C.o?O000 ,Credits,制作团队
"com/fs/starfarer/title/C.o?O000 - String - ""Quit""",com/fs/starfarer/title/C.o?O000 ,Quit,退出游戏
"com/fs/starfarer/title/C.o?O000 - String - ""Edit Variants""",com/fs/starfarer/title/C.o?O000 ,Edit Variants,编辑装配
"com/fs/starfarer/codex/ui/oooO$O0.<init> - String - "" (Beam)""",com/fs/starfarer/codex/ui/oooO$O0.<init> , (Beam), (光束) 
"com/fs/starfarer/codex/ui/oooO$O0.<init> - String - ""Damage type""",com/fs/starfarer/codex/ui/oooO$O0.<init> ,Damage type,伤害类型
"com/fs/starfarer/codex/ui/oooO$O0.<init> - String - ""DPS (sustained)""",com/fs/starfarer/codex/ui/oooO$O0.<init> ,DPS (sustained),每秒伤害 (持续伤害) 
"com/fs/starfarer/codex/ui/oooO$O0.<init> - String - ""DPS""",com/fs/starfarer/codex/ui/oooO$O0.<init> ,DPS,每秒伤害
"com/fs/starfarer/codex/ui/oooO$O0.<init> - String - ""Range""",com/fs/starfarer/codex/ui/oooO$O0.<init> ,Range,武器射程
"com/fs/starfarer/campaign/command/int.recreate - String - ""Select gathering point""",com/fs/starfarer/campaign/command/int.recreate ,Select gathering point,选择集散地
"com/fs/starfarer/campaign/command/int.recreate - String - ""No colonies""",com/fs/starfarer/campaign/command/int.recreate ,No colonies,没有殖民地
"com/fs/starfarer/campaign/command/int.recreate - String - ""Cancel""",com/fs/starfarer/campaign/command/int.recreate ,Cancel,取消
"com/fs/starfarer/campaign/OOoO.super - String - ""Unidentified Entity""",com/fs/starfarer/campaign/OOoO.super ,Unidentified Entity,不明物体
