LDC_96a,Class,LDC__95.1CN,RAW_95.1CN
"""None""",com/fs/starfarer/campaign/accidents/AccidentRisk$o,"""无""","com/fs/starfarer/campaign/accidents/AccidentRisk$o.<clinit> - String - ""无"""
"""Minor""",com/fs/starfarer/campaign/accidents/AccidentRisk$o,"""次要""","com/fs/starfarer/campaign/accidents/AccidentRisk$o.<clinit> - String - ""次要"""
"""Major""",com/fs/starfarer/campaign/accidents/AccidentRisk$o,"""重要""","com/fs/starfarer/campaign/accidents/AccidentRisk$o.<clinit> - String - ""重要"""
"""Critical""",com/fs/starfarer/campaign/accidents/AccidentRisk$o,"""紧急""","com/fs/starfarer/campaign/accidents/AccidentRisk$o.<clinit> - String - ""紧急"""
"""A lack of supplies to perform routine maintenance caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/B,"""缺乏补给进行日常维护而导致事故""","com/fs/starfarer/campaign/accidents/B.new - String - ""缺乏补给进行日常维护而导致事故"""
"""A lack of supplies to perform priority maintenance caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/B,"""缺乏补给进行重点维护而导致事故""","com/fs/starfarer/campaign/accidents/B.new - String - ""缺乏补给进行重点维护而导致事故"""
"""A lack of supplies to perform emergency maintenance caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/B,"""缺乏补给进行急救维修而导致事故""","com/fs/starfarer/campaign/accidents/B.new - String - ""缺乏补给进行急救维修而导致事故"""
"""A lack of proper planning caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/B,"""缺乏适当的规划而导致事故""","com/fs/starfarer/campaign/accidents/B.new - String - ""缺乏适当的规划而导致事故"""
"""A lack of proper planning caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/B,"""缺乏适当的规划而导致事故""","com/fs/starfarer/campaign/accidents/B.new - String - ""缺乏适当的规划而导致事故"""
"""The chaotic logistical situation in the fleet caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/B,"""舰队混乱的补给计划导致事故""","com/fs/starfarer/campaign/accidents/B.new - String - ""舰队混乱的补给计划导致事故"""
"""Lack of supplies""",com/fs/starfarer/campaign/accidents/B,"""缺少补给""","com/fs/starfarer/campaign/accidents/B.new - String - ""缺少补给"""
"""Low logistics rating""",com/fs/starfarer/campaign/accidents/B,"""最低补给供应标准""","com/fs/starfarer/campaign/accidents/B.new - String - ""最低补给供应标准"""
"""Procure additional supplies, or scuttle one of your ships for supplies if no better means are available.""",com/fs/starfarer/campaign/accidents/B,"""获得更多补给,}或在绝境中自毁你的一艘船来获得补给.""","com/fs/starfarer/campaign/accidents/B.Ô00000 - String - ""获得更多补给,}或在绝境中自毁你的一艘船来获得补给."""
