LDC97,class97,LDC96CN
"""Able to build """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1,"""+"""
""" more permanent hullmod* into ships""",com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level1,""" 可内置船插的上限"""
"""Deployment points bonus from objectives is at least """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2,"""即使未占领任何目标点，仍能给予当前战斗规模 """
"""% of the battle size, even if holding no objectives""",com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level2,"""% 的部署点奖励"""
"""*The base maximum number of permanent hullmods you're able to build into a ship is """,com/fs/starfarer/api/impl/campaign/skills/BestOfTheBest$Level0,"""最初一艘船能内置船插的上限为 """
"""sent to the $shortName""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""一批送往 $shortName 的货物清单中，"""
"""searching through the debris""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""打捞废墟时发现了一份货物清单，"""
"""sent to the surface""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""一批送往地表的货物清单中，"""
"""A cargo manifest found by the salvage crews """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""打捞人员在"""
""" indicates """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""发现有"""
"""the presence of a quantity of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""一定数量的 """
"""likely to be found if proper salvage operations are conducted.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/CargoManifestSpecial,"""如果进行适当的搜寻工作，就应该可以找到。"""
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/RemoveShip,"""失去了 """
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长。"""
"""Cautious""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""谨慎"""
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长。"""
"""Steady""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""沉着"""
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长。"""
"""A mix of %s and %s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""混杂着 激进 ,鲁莽 的军官与舰长。"""
"""%s officers and ship commanders.""",com/fs/starfarer/api/impl/campaign/FactionPersonalityPickerPluginImpl,"""%s 的军官与舰长。"""
"""Hazard rating""",com/fs/starfarer/api/impl/campaign/SurveyPluginImpl,"""危险等级"""
"""Planet size""",com/fs/starfarer/api/impl/campaign/SurveyPluginImpl,"""星球大小"""
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Gained """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Gained ability: """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得能力："""
""" (level """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,""" (等级 """
""") has joined your fleet""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,""") 已加入了你的舰队"""
"""(level """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,""" (等级 """
""" has left your fleet""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,""" 离开了你的舰队"""
"""Administrator""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""行政官"""
